    { id: 'sc-7-8', kind: 'sink-challenge', depth: 7, cups: [['c0', 'c0', 'c0', 'c1'], ['c2', 'c2', 'c1', 'c1'], ['c3', 'c3', 'c1', 'c2'], ['c2', 'c3', 'c3', 'c0'], [], []], teapot: null, sink: 5 }, // fair L8/S8/O2/F0/SD4/4
    { id: 'sc-7-962', kind: 'sink-challenge', depth: 7, cups: [['c1', 'c1', 'c2', 'c2'], [], ['c0', 'c0', 'c0', 'c3'], ['c3', 'c3', 'c0', 'c2'], ['c3', 'c1', 'c1', 'c2'], []], teapot: null, sink: 5 }, // fair L8/S8/O3/F0/SD4/4
    { id: 'sc-7-1614', kind: 'sink-challenge', depth: 7, cups: [['c0', 'c1', 'c1', 'c1'], ['c0', 'c0', 'c3', 'c0'], [], ['c1', 'c3', 'c2', 'c2'], ['c3', 'c3', 'c2', 'c2'], []], teapot: null, sink: 5 }, // fair L8/S8/O2/F0/SD4/4
    { id: 'sc-7-2203', kind: 'sink-challenge', depth: 7, cups: [['c2', 'c3', 'c1', 'c0'], ['c3', 'c2', 'c2', 'c2'], ['c0', 'c0', 'c3', 'c3'], ['c1', 'c1', 'c1', 'c0'], [], []], teapot: null, sink: 5 }, // fair L8/S8/O2/F0/SD4/4
    { id: 'sc-8-16', kind: 'sink-challenge', depth: 8, cups: [['c3', 'c1', 'c3', 'c2'], ['c1', 'c1', 'c0', 'c0'], ['c1', 'c3', 'c3', 'c2'], [], ['c0', 'c0', 'c2', 'c2'], []], teapot: null, sink: 5 }, // fair L8/S8/O3/F0/SD4/4
    { id: 'sc-8-507', kind: 'sink-challenge', depth: 8, cups: [['c0', 'c3', 'c1', 'c3'], [], ['c3', 'c3', 'c0', 'c0'], ['c2', 'c2', 'c1', 'c1'], ['c0', 'c2', 'c2', 'c1'], []], teapot: null, sink: 5 }, // fair L8/S8/O2/F0/SD4/4
    { id: 'sc-8-1222', kind: 'sink-challenge', depth: 8, cups: [['c0', 'c0', 'c3', 'c3'], [], ['c2', 'c1', 'c1', 'c2'], ['c1', 'c0', 'c3', 'c3'], ['c0', 'c2', 'c2', 'c1'], []], teapot: null, sink: 5 }, // fair L8/S8/O2/F0/SD4/4
    { id: 'sc-8-1889', kind: 'sink-challenge', depth: 8, cups: [['c3', 'c2', 'c1', 'c1'], ['c0', 'c3', 'c3', 'c3'], [], ['c2', 'c2', 'c0', 'c0'], ['c1', 'c0', 'c1', 'c2'], []], teapot: null, sink: 5 }, // fair L8/S8/O1/F0/SD4/4
    { id: 'sc-8-2518', kind: 'sink-challenge', depth: 8, cups: [['c3', 'c1', 'c3', 'c1'], ['c2', 'c2', 'c2', 'c2'], [], ['c1', 'c0', 'c3', 'c3'], ['c0', 'c1', 'c0', 'c0'], []], teapot: null, sink: 5 }, // fair L7/S7/O1/F0/SD4/4
    { id: 'sc-9-0', kind: 'sink-challenge', depth: 9, cups: [['c2', 'c2', 'c0', 'c0'], [], ['c2', 'c3', 'c0', 'c0'], ['c1', 'c1', 'c1', 'c3'], ['c2', 'c3', 'c1', 'c3'], []], teapot: null, sink: 5 }, // fair L8/S8/O8/F0/SD4/4
    { id: 'sc-9-726', kind: 'sink-challenge', depth: 9, cups: [['c1', 'c1', 'c1', 'c3'], ['c0', 'c2', 'c2', 'c0'], [], ['c2', 'c3', 'c0', 'c2'], ['c0', 'c3', 'c3', 'c1'], []], teapot: null, sink: 5 }, // fair L8/S8/O1/F0/SD4/4
