    { id: 'sink-mystery-peak-10-106', kind: 'sink-mystery-peak', depth: 10, cups: [['c2', 'c2', 'c0', 'c0'], ['c4', 'c2', 'c4', 'c3'], ['c4', 'c3', 'c0', 'c0'], ['c1', 'c1', 'c1', 'c4'], [], ['c3', 'c3', 'c2', 'c1'], []], teapot: null, sink: 6 }, // seed 106 fair L10/S10/O2/F0/SD5/5
    { id: 'sink-mystery-peak-10-732', kind: 'sink-mystery-peak', depth: 10, cups: [['c4', 'c2', 'c4', 'c1'], ['c2', 'c1', 'c2', 'c2'], [], ['c0', 'c0', 'c3', 'c4'], ['c4', 'c3', 'c3', 'c3'], ['c1', 'c1', 'c0', 'c0'], []], teapot: null, sink: 6 }, // seed 732 fair L10/S10/O1/F0/SD5/5
    { id: 'sink-mystery-peak-10-757', kind: 'sink-mystery-peak', depth: 10, cups: [['c1', 'c1', 'c1', 'c0'], ['c1', 'c2', 'c3', 'c3'], [], ['c2', 'c0', 'c3', 'c3'], ['c4', 'c2', 'c0', 'c2'], ['c0', 'c4', 'c4', 'c4'], []], teapot: null, sink: 6 }, // seed 757 fair L10/S10/O2/F0/SD5/5
    { id: 'sink-mystery-peak-11-41', kind: 'sink-mystery-peak', depth: 11, cups: [['c4', 'c4', 'c4', 'c2'], ['c2', 'c1', 'c3', 'c3'], ['c1', 'c1', 'c4', 'c3'], ['c0', 'c0', 'c0', 'c2'], [], ['c0', 'c1', 'c3', 'c2'], []], teapot: null, sink: 6 }, // seed 41 fair L10/S10/O10/F0/SD5/5
    { id: 'sink-mystery-peak-11-137', kind: 'sink-mystery-peak', depth: 11, cups: [['c1', 'c3', 'c4', 'c4'], ['c3', 'c2', 'c0', 'c0'], ['c3', 'c3', 'c4', 'c4'], ['c2', 'c2', 'c2', 'c1'], ['c1', 'c0', 'c1', 'c0'], [], []], teapot: null, sink: 6 }, // seed 137 fair L10/S10/O8/F0/SD5/5
    { id: 'sink-mystery-peak-11-145', kind: 'sink-mystery-peak', depth: 11, cups: [[], ['c1', 'c4', 'c4', 'c0'], ['c4', 'c2', 'c1', 'c1'], ['c2', 'c1', 'c3', 'c3'], ['c0', 'c3', 'c3', 'c4'], ['c2', 'c0', 'c0', 'c2'], []], teapot: null, sink: 6 }, // seed 145 fair L10/S10/O1/F0/SD5/5
    { id: 'sink-mystery-peak-11-170', kind: 'sink-mystery-peak', depth: 11, cups: [['c0', 'c0', 'c3', 'c3'], ['c4', 'c0', 'c4', 'c0'], ['c3', 'c2', 'c2', 'c2'], ['c4', 'c1', 'c1', 'c3'], [], ['c1', 'c2', 'c4', 'c1'], []], teapot: null, sink: 6 }, // seed 170 fair L10/S10/O1/F0/SD5/5
    { id: 'sink-mystery-peak-12-24', kind: 'sink-mystery-peak', depth: 12, cups: [['c2', 'c4', 'c0', 'c0'], ['c1', 'c0', 'c4', 'c4'], ['c2', 'c3', 'c3', 'c1'], ['c2', 'c4', 'c1', 'c1'], ['c0', 'c3', 'c3', 'c2'], [], []], teapot: null, sink: 6 }, // seed 24 fair L10/S10/O2/F0/SD5/5
    { id: 'sink-mystery-peak-12-90', kind: 'sink-mystery-peak', depth: 12, cups: [[], ['c3', 'c0', 'c3', 'c4'], ['c1', 'c4', 'c4', 'c1'], ['c0', 'c1', 'c2', 'c3'], ['c4', 'c0', 'c0', 'c1'], ['c2', 'c2', 'c2', 'c3'], []], teapot: null, sink: 6 }, // seed 90 fair L10/S10/O2/F0/SD5/5
    { id: 'sink-mystery-peak-12-92', kind: 'sink-mystery-peak', depth: 12, cups: [['c2', 'c0', 'c3', 'c3'], [], ['c2', 'c1', 'c1', 'c1'], ['c0', 'c4', 'c0', 'c0'], ['c4', 'c1', 'c3', 'c3'], ['c2', 'c4', 'c2', 'c4'], []], teapot: null, sink: 6 }, // seed 92 fair L10/S10/O6/F0/SD5/5
    { id: 'sink-mystery-peak-12-111', kind: 'sink-mystery-peak', depth: 12, cups: [['c0', 'c1', 'c3', 'c2'], ['c2', 'c2', 'c4', 'c4'], ['c0', 'c0', 'c1', 'c3'], ['c3', 'c1', 'c4', 'c4'], ['c1', 'c3', 'c2', 'c0'], [], []], teapot: null, sink: 6 }, // seed 111 fair L10/S10/O2/F0/SD5/5
