    { id: 'tasting-mystery-peak-10-499', kind: 'tasting-mystery-peak', depth: 10, cups: [['c2', 'c2', 'c0', 'c0'], [], ['c1', 'c1', 'c3', 'c3'], ['c4', 'c4', 'c3', 'c3'], ['c4', 'c1', 'c2', 'c2'], ['c0', 'c4', 'c0', 'c1'], []], teapot: null, tasting: 6 }, // seed 499 fair L10/S10/O2/F0/TD5/5
    { id: 'tasting-mystery-peak-11-375', kind: 'tasting-mystery-peak', depth: 11, cups: [['c1', 'c2', 'c2', 'c3'], ['c2', 'c1', 'c1', 'c4'], ['c4', 'c4', 'c0', 'c0'], ['c2', 'c4', 'c0', 'c0'], ['c1', 'c3', 'c3', 'c3'], [], []], teapot: null, tasting: 6 }, // seed 375 fair L10/S10/O8/F0/TD5/5
    { id: 'tasting-mystery-peak-11-637', kind: 'tasting-mystery-peak', depth: 11, cups: [['c1', 'c1', 'c1', 'c3'], ['c4', 'c4', 'c4', 'c0'], ['c4', 'c2', 'c2', 'c3'], ['c0', 'c2', 'c3', 'c1'], [], ['c3', 'c2', 'c0', 'c0'], []], teapot: null, tasting: 6 }, // seed 637 fair L10/S10/O2/F0/TD5/5
    { id: 'tasting-mystery-peak-11-689', kind: 'tasting-mystery-peak', depth: 11, cups: [['c2', 'c2', 'c1', 'c1'], ['c3', 'c3', 'c3', 'c1'], [], ['c2', 'c2', 'c1', 'c0'], ['c0', 'c4', 'c4', 'c0'], ['c4', 'c0', 'c3', 'c4'], []], teapot: null, tasting: 6 }, // seed 689 fair L10/S10/O5/F0/TD5/5
    { id: 'tasting-mystery-peak-11-815', kind: 'tasting-mystery-peak', depth: 11, cups: [['c0', 'c4', 'c2', 'c3'], ['c3', 'c1', 'c1', 'c1'], ['c2', 'c4', 'c1', 'c0'], ['c2', 'c2', 'c0', 'c0'], ['c4', 'c4', 'c3', 'c3'], [], []], teapot: null, tasting: 6 }, // seed 815 fair L10/S10/O3/F0/TD5/5
    { id: 'tasting-mystery-peak-12-2', kind: 'tasting-mystery-peak', depth: 12, cups: [['c3', 'c0', 'c0', 'c2'], ['c4', 'c1', 'c4', 'c0'], ['c0', 'c2', 'c3', 'c1'], ['c2', 'c2', 'c4', 'c4'], [], ['c1', 'c1', 'c3', 'c3'], []], teapot: null, tasting: 6 }, // seed 2 fair L10/S10/O2/F0/TD5/5
    { id: 'tasting-mystery-peak-12-35', kind: 'tasting-mystery-peak', depth: 12, cups: [[], ['c3', 'c3', 'c0', 'c1'], ['c1', 'c3', 'c2', 'c1'], ['c2', 'c4', 'c4', 'c4'], ['c0', 'c0', 'c0', 'c2'], ['c1', 'c4', 'c2', 'c3'], []], teapot: null, tasting: 6 }, // seed 35 fair L10/S10/O4/F0/TD5/5
    { id: 'tasting-mystery-peak-12-214', kind: 'tasting-mystery-peak', depth: 12, cups: [['c3', 'c3', 'c4', 'c1'], ['c4', 'c4', 'c2', 'c0'], ['c2', 'c2', 'c0', 'c3'], ['c1', 'c1', 'c1', 'c4'], ['c0', 'c2', 'c0', 'c3'], [], []], teapot: null, tasting: 6 }, // seed 214 fair L10/S10/O8/F0/TD5/5
    { id: 'tasting-mystery-peak-12-249', kind: 'tasting-mystery-peak', depth: 12, cups: [['c2', 'c2', 'c0', 'c1'], ['c3', 'c1', 'c3', 'c1'], ['c0', 'c2', 'c2', 'c4'], ['c1', 'c3', 'c3', 'c4'], [], ['c4', 'c4', 'c0', 'c0'], []], teapot: null, tasting: 6 }, // seed 249 fair L10/S10/O2/F0/TD5/5
    { id: 'tasting-mystery-peak-13-20', kind: 'tasting-mystery-peak', depth: 13, cups: [['c1', 'c4', 'c2', 'c0'], [], ['c4', 'c2', 'c3', 'c3'], ['c2', 'c2', 'c0', 'c0'], ['c1', 'c1', 'c4', 'c1'], ['c3', 'c0', 'c4', 'c3'], []], teapot: null, tasting: 6 }, // seed 20 fair L10/S10/O3/F0/TD5/5
    { id: 'tasting-mystery-peak-13-43', kind: 'tasting-mystery-peak', depth: 13, cups: [['c1', 'c1', 'c3', 'c2'], ['c1', 'c1', 'c2', 'c3'], [], ['c2', 'c0', 'c2', 'c4'], ['c4', 'c4', 'c3', 'c0'], ['c3', 'c0', 'c0', 'c4'], []], teapot: null, tasting: 6 }, // seed 43 fair L10/S10/O5/F0/TD5/5
    { id: 'tasting-mystery-peak-13-49', kind: 'tasting-mystery-peak', depth: 13, cups: [['c3', 'c4', 'c4', 'c3'], ['c1', 'c2', 'c3', 'c1'], ['c0', 'c0', 'c0', 'c2'], ['c0', 'c1', 'c2', 'c3'], [], ['c4', 'c4', 'c2', 'c1'], []], teapot: null, tasting: 6 }, // seed 49 fair L10/S10/O5/F0/TD5/5
    { id: 'tasting-mystery-peak-13-67', kind: 'tasting-mystery-peak', depth: 13, cups: [['c4', 'c4', 'c2', 'c3'], ['c3', 'c2', 'c3', 'c2'], [], ['c3', 'c0', 'c0', 'c0'], ['c4', 'c1', 'c1', 'c1'], ['c0', 'c4', 'c1', 'c2'], []], teapot: null, tasting: 6 }, // seed 67 fair L10/S10/O6/F0/TD5/5
    { id: 'tasting-mystery-peak-13-70', kind: 'tasting-mystery-peak', depth: 13, cups: [['c0', 'c2', 'c2', 'c4'], ['c4', 'c0', 'c3', 'c1'], ['c4', 'c1', 'c1', 'c1'], [], ['c0', 'c4', 'c3', 'c0'], ['c2', 'c2', 'c3', 'c3'], []], teapot: null, tasting: 6 }, // seed 70 fair L10/S10/O7/F0/TD5/5
    { id: 'tasting-mystery-peak-14-9', kind: 'tasting-mystery-peak', depth: 14, cups: [['c3', 'c1', 'c2', 'c1'], ['c2', 'c4', 'c1', 'c0'], ['c0', 'c3', 'c3', 'c1'], ['c4', 'c0', 'c2', 'c2'], [], ['c3', 'c4', 'c4', 'c0'], []], teapot: null, tasting: 6 }, // seed 9 fair L10/S10/O6/F0/TD5/5
    { id: 'tasting-mystery-peak-14-22', kind: 'tasting-mystery-peak', depth: 14, cups: [[], ['c2', 'c0', 'c4', 'c3'], ['c1', 'c4', 'c1', 'c3'], ['c2', 'c2', 'c2', 'c4'], ['c4', 'c1', 'c0', 'c0'], ['c3', 'c0', 'c1', 'c3'], []], teapot: null, tasting: 6 }, // seed 22 fair L10/S10/O4/F0/TD5/5
    { id: 'tasting-mystery-peak-14-24', kind: 'tasting-mystery-peak', depth: 14, cups: [['c0', 'c2', 'c2', 'c0'], ['c1', 'c4', 'c4', 'c2'], [], ['c4', 'c1', 'c1', 'c3'], ['c0', 'c3', 'c1', 'c2'], ['c0', 'c4', 'c3', 'c3'], []], teapot: null, tasting: 6 }, // seed 24 fair L10/S10/O9/F0/TD5/5
    { id: 'tasting-mystery-peak-14-34', kind: 'tasting-mystery-peak', depth: 14, cups: [['c1', 'c4', 'c0', 'c4'], ['c0', 'c1', 'c3', 'c2'], ['c3', 'c2', 'c2', 'c2'], [], ['c1', 'c3', 'c1', 'c4'], ['c4', 'c3', 'c0', 'c0'], []], teapot: null, tasting: 6 }, // seed 34 fair L10/S10/O5/F0/TD5/5
